entity,coupled,degree,average-revs
static/index.html,static/js/index.js,50,40
database_handler.py,server.py,46,58
server.py,static/js/index.js,42,61
js/filesystem.js,js/reem.js,41,17
index.html,js/peter.js,40,37
index.html,js/emil.js,35,34
database.sql,database_handler.py,35,31
database.sql,server.py,34,41
database_handler.py,static/js/index.js,31,51
server.py,static/index.html,31,47
js/emil.js,js/peter.js,31,22
database.sql,static/index.html,30,20
js/emil.js,js/filesystem.js,30,20
